city,long,lat
BOIS-LE-ROI,2.692292,48.474568
POLIGNY,2.74573,48.22435
POMMEUSE,3.015702,48.816543
POMPONNE,2.690963,48.881511
PONTAULT-COMBAULT,2.607598,48.801255
PONTCARRE,2.705341,48.797343
PRECY-SUR-MARNE,2.776364,48.930027
PRESLES-EN-BRIE,2.7363209,48.714291
PRINGY,2.558354,48.521713
PROVINS,3.299203,48.560149
BOISSETTES,2.610475,48.520447
PUISIEUX,2.916235,49.066208
QUIERS,2.970954,48.607127
QUINCY-VOISINS,2.874444,48.8996
RAMPILLON,3.066898,48.549948
REAU,2.6272,48.613078
REBAIS,3.23182,48.8466
RECLOSES,2.640925,48.346409
REMAUVILLE,2.824804,48.211802
REUIL-EN-BRIE,3.146541,48.960885
ROCHETTE,2.662553,48.508348
BOISSISE-LA-BERTRAND,2.588402,48.527127
ROISSY-EN-BRIE,2.654541,48.790685
ROUILLY,3.2781,48.5922
ROUVRES,2.716335,49.062066
ROZAY-EN-BRIE,2.959045,48.683832
RUBELLES,2.680726,48.55818
RUMONT,2.4980319,48.265087
RUPEREUX,3.3320059,48.636376
SAACY-SUR-MARNE,3.208556,48.961481
SABLONNIERES,3.290557,48.879283
SAINT-ANGE-LE-VIEL,2.9024899,48.264973
ANDREZEL,2.811922,48.611476
BOISSISE-LE-ROI,2.571664,48.526605
SAINT-AUGUSTIN,3.0298,48.786467
SAINTE-AULDE,3.180747,49.002132
SAINT-BARTHELEMY,3.362957,48.819306
SAINT-BRICE,3.322872,48.566991
SAINTE-COLOMBE,3.257106,48.528717
SAINT-CYR-SUR-MORIN,3.189882,48.914918
SAINT-DENIS-LES-REBAIS,3.209997,48.835707
SAINT-FARGEAU-PONTHIERRY,2.5442,48.53
SAINT-FIACRE,2.954301,48.923062
SAINT-GERMAIN-LAVAL,2.996957,48.39862
BOISSY-AUX-CAILLES,2.502919,48.3197819
SAINT-GERMAIN-LAXIS,2.709309,48.581953
SAINT-GERMAIN-SOUS-DOUE,3.145099,48.851895
SAINT-GERMAIN-SUR-ECOLE,2.508776,48.474465
SAINT-GERMAIN-SUR-MORIN,2.851295,48.882725
SAINT-HILLIERS,3.257777,48.621752
SAINT-JEAN-LES-DEUX-JUMEAUX,3.0262889,48.943657
SAINT-JUST-EN-BRIE,3.104723,48.600352
SAINT-LEGER,3.25515,48.838971
SAINT-LOUP-DE-NAUD,3.210084,48.535713
SAINT-MAMMES,2.807999,48.388682
BOISSY-LE-CHATEL,3.139148,48.829078
SAINT-MARD,2.702097,49.040614
SAINT-MARS-VIEUX-MAISONS,3.3211,48.7425
SAINT-MARTIN-DES-CHAMPS,3.336186,48.7784199
SAINT-MARTIN-DU-BOSCHET,3.427933,48.735707
SAINT-MARTIN-EN-BIERE,2.567121,48.437126
SAINT-MERY,2.826109,48.577528
SAINT-MESMES,2.698836,48.985053
SAINT-OUEN-EN-BRIE,2.917322,48.557753
SAINT-OUEN-SUR-MORIN,3.207623,48.9044
BOITRON,3.26162,48.897217
SAINT-PATHUS,2.794489,49.07342
SAINT-PIERRE-LES-NEMOURS,2.681118,48.266196
SAINT-REMY-LA-VANNE,3.232405,48.792109
SAINTS,3.05794,48.7562349
SAINT-SAUVEUR-LES-BRAY,3.203219,48.439373
SAINT-SAUVEUR-SUR-ECOLE,2.546967,48.49677
SAINT-SIMEON,3.202963,48.798484
SAINT-SOUPPLETS,2.806764,49.039423
SAINT-THIBAULT-DES-VIGNES,2.6880829,48.868659
SALINS,3.0216,48.421604
BOMBON,2.858968,48.572776
SAMMERON,3.080413,48.947394
SAMOIS-SUR-SEINE,2.75345,48.4530699
SAMOREAU,2.754079,48.423454
SANCY,2.960435,48.8859009
SANCY-LES-PROVINS,3.391342,48.696215
SAVIGNY-LE-TEMPLE,2.580987,48.59586
SAVINS,3.200901,48.510057
SEINE-PORT,2.549623,48.558093
SEPT-SORTS,3.103201,48.9373999
SERRIS,2.788231,48.84432
BOUGLIGNY,2.657468,48.195248
SERVON,2.587127,48.7168149
SIGNY-SIGNETS,3.067092,48.926805
SIGY,3.1812109,48.478112
SIVRY-COURTRY,2.755006,48.527629
SOGNOLLES-EN-MONTOIS,3.167527,48.511302
SOIGNOLLES-EN-BRIE,2.69887,48.653547
SOISY-BOUY,3.289738,48.509786
SOLERS,2.717903,48.657948
SOUPPES-SUR-LOING,2.733178,48.183625
SOURDUN,3.349022,48.539468
BOULANCOURT,2.4363419,48.258276
TANCROU,3.046119,48.999808
THENISY,3.176792,48.489183
THIEUX,2.66772,49.010414
THOMERY,2.784672,48.409154
THORIGNY-SUR-MARNE,2.712292,48.883881
THOURY-FEROTTES,2.942105,48.291489
TIGEAUX,2.905147,48.829031
TOMBE,3.089538,48.388374
TORCY,2.654472,48.850572
TOUQUIN,3.011745,48.735158
BOULEURS,2.906443,48.8815079
TOURNAN-EN-BRIE,2.7658299,48.739886
TOUSSON,2.45945,48.346385
TRETOIRE,3.251912,48.873994
TREUZY-LEVELAY,2.81496,48.272743
TRILBARDOU,2.804777,48.943741
TRILPORT,2.947058,48.958039
TROCY-EN-MULTIEN,2.963061,49.042341
URY,2.6016499,48.3409199
USSY-SUR-MARNE,3.07337,48.954007
VAIRES-SUR-MARNE,2.639543,48.873609
BOURRON-MARLOTTE,2.7019289,48.340508
VALENCE-EN-BRIE,2.890114,48.44405
VANVILLE,3.10689,48.554918
VARENNES-SUR-SEINE,2.929185,48.376287
VARREDDES,2.928891,49.002369
VAUCOURTOIS,2.953043,48.895345
VAUDOUE,2.519083,48.35528
VAUDOY-EN-BRIE,3.080243,48.688393
VAUX-LE-PENIL,2.68411,48.525439
VAUX-SUR-LUNAIN,2.937085,48.227118
BOUTIGNY,2.928621,48.920193
VENDREST,3.093234,49.0463049
VENEUX-LES-SABLONS,2.7951609,48.377846
VERDELOT,3.365642,48.875163
VERNEUIL-L'ETANG,2.835813,48.645057
VERNOU-LA-CELLE-SUR-SEINE,2.8466109,48.389259
VERT-SAINT-DENIS,2.613554,48.565306
VIEUX-CHAMPAGNE,3.137304,48.579575
VIGNELY,2.808037,48.931651
ANNET-SUR-MARNE,2.720887,48.925877
BRANSLES,2.834815,48.152225
VILLEBEON,2.9409519,48.207748
VILLECERF,2.842448,48.327214
VILLEMARECHAL,2.86839,48.267559
VILLEMAREUIL,2.972026,48.921085
VILLEMER,2.822376,48.301457
VILLENAUXE-LA-PETITE,3.310514,48.406323
VILLENEUVE-LE-COMTE,2.82967,48.814025
VILLENEUVE-LES-BORDES,3.042563,48.4866
BRAY-SUR-SEINE,3.239486,48.415097
VILLENEUVE-SAINT-DENIS,2.793211,48.815617
VILLENEUVE-SOUS-DAMMARTIN,2.640046,49.034417
VILLENEUVE-SUR-BELLOT,3.341365,48.862032
VILLENOY,2.865699,48.944224
VILLEPARISIS,2.614385,48.938315
VILLEROY,2.781206,48.982465
VILLE-SAINT-JACQUES,2.894046,48.342418
VILLEVAUDE,2.654012,48.915811
VILLIERS-EN-BIERE,2.604438,48.496528
VILLIERS-SAINT-GEORGES,3.406682,48.649727
BREAU,2.880461,48.556606
VILLIERS-SOUS-GREZ,2.647616,48.319337
VILLIERS-SUR-MORIN,2.879298,48.859847
VILLIERS-SUR-SEINE,3.374745,48.457034
VILLUIS,3.355929,48.41049
VIMPELLES,3.16579,48.4419169
VINANTES,2.734706,49.009383
VINCY-MANOEUVRE,2.9626739,49.078302
VOINSLES,3.004954,48.691044
VOISENON,2.663626,48.569439
VOULANGIS,2.89625,48.849781
BRIE-COMTE-ROBERT,2.6103697,48.6912267
VOULTON,3.333206,48.617236
VOULX,2.969277,48.282085
VULAINES-LES-PROVINS,3.218781,48.560117
VULAINES-SUR-SEINE,2.764365,48.430925
YEBLES,2.7708879,48.637575
BROSSE-MONTCEAUX,3.019286,48.344602
BROU-SUR-CHANTEREINE,2.629745,48.882531
BURCY,2.5224859,48.23832
BUSSIERES,3.236036,48.922525
BUSSY-SAINT-GEORGES,2.69802,48.842205
BUSSY-SAINT-MARTIN,2.691278,48.849722
ARBONNE-LA-FORET,2.565299,48.414053
BUTHIERS,2.430321,48.287728
CANNES-ECLUSE,2.984569,48.365207
CARNETIN,2.70627,48.89925
CELLE-SUR-MORIN,2.9678,48.8039
CELY,2.532939,48.4605109
CERNEUX,3.344795,48.693545
CESSON,2.600995,48.56225
CESSOY-EN-MONTOIS,3.1479529,48.504587
CHAILLY-EN-BIERE,2.6067619,48.466954
ARGENTIERES,2.870064,48.655096
CHAILLY-EN-BRIE,3.124146,48.789548
CHAINTREAUX,2.82005,48.199549
CHALAUTRE-LA-GRANDE,3.459453,48.541825
CHALAUTRE-LA-PETITE,3.313777,48.529075
CHALIFERT,2.77263,48.888098
CHALMAISON,3.251655,48.483055
CHAMBRY,2.896295,48.996649
CHAMIGNY,3.150752,48.973501
CHAMPAGNE-SUR-SEINE,2.797807,48.399431
ARMENTIERES-EN-BRIE,3.021093,48.977919
CHAMPCENEST,3.283367,48.669707
CHAMPDEUIL,2.730407,48.621968
CHAMPEAUX,2.806285,48.584583
CHAMPS-SUR-MARNE,2.602651,48.852775
CHANGIS-SUR-MARNE,3.026721,48.958626
CHANTELOUP-EN-BRIE,2.736783,48.855923
CHAPELLE-GAUTHIER,2.900209,48.5494119
CHAPELLE-IGER,2.990215,48.652431
CHAPELLE-LA-REINE,2.568934,48.314078
CHAPELLE-RABLAIS,2.97164,48.5109769
ARVILLE,2.547927,48.188176
CHAPELLE-SAINT-SULPICE,3.179201,48.554741
CHAPELLES-BOURBON,2.841187,48.741496
CHAPELLE-MOUTILS,3.38993,48.774747
CHARMENTRAY,2.7771469,48.946671
CHARNY,2.76115,48.970901
CHARTRETTES,2.699565,48.488211
CHARTRONGES,3.2695439,48.74519
CHATEAUBLEAU,3.108398,48.5880269
CHATEAU-LANDON,2.704426,48.150232
ALLUETS-LE-ROI,1.918995,48.91366
BREUIL-BOIS-ROBERT,1.716432,48.945199
BREVAL,1.532795,48.945514
BREVIAIRES,1.814019,48.707639
BRUEIL-EN-VEXIN,1.815091,49.031709
BUC,2.123618,48.771808
BUCHELAY,1.678852,48.983085
BULLION,1.99732,48.621798
CARRIERES-SOUS-POISSY,2.037356,48.945484
CARRIERES-SUR-SEINE,2.178685,48.911292
CELLE-LES-BORDES,1.966916,48.642752
CELLE-SAINT-CLOUD,2.132504,48.849766
CERNAY-LA-VILLE,1.976231,48.673864
ANDELU,1.823916,48.87905
CHAMBOURCY,2.040137,48.906272
CHANTELOUP-LES-VIGNES,2.030051,48.978825
CHAPET,1.933828,48.967085
CHATOU,2.160098,48.896391
CHAUFOUR-LES-BONNIERES,1.484257,49.0160399
ANDRESY,2.051033,48.979048
CHAVENAY,1.987591,48.853426
CHESNAY,2.130544,48.825415
CHEVREUSE,2.0406559,48.707733
CHOISEL,2.018651,48.686892
CIVRY-LA-FORET,1.615467,48.866916
CLAIREFONTAINE-EN-YVELINES,1.908489,48.61237
CLAYES-SOUS-BOIS,1.976374,48.82342
COIGNIERES,1.916261,48.750285
CONDE-SUR-VESGRE,1.66073,48.741906
CONFLANS-SAINTE-HONORINE,2.09178,49.000275
COURGENT,1.662656,48.891236
CRAVENT,1.490713,48.990537
CRESPIERES,1.918497,48.880904
CROISSY-SUR-SEINE,2.142746,48.878426
DAMMARTIN-EN-SERVE,1.619015,48.90341
DAMPIERRE-EN-YVELINES,1.984545,48.705142
DANNEMARIE,1.6034219,48.762168
DAVRON,1.945969,48.866403
ARNOUVILLE-LES-MANTES,1.732098,48.911278
ECQUEVILLY,1.924235,48.9492059
ELANCOURT,1.960077,48.782907
EMANCE,1.730406,48.590294
EPONE,1.812542,48.957802
ESSARTS-LE-ROI,1.899287,48.715933
ETANG-LA-VILLE,2.07365,48.87007
EVECQUEMONT,1.943799,49.014204
FALAISE,1.831813,48.944315
FAVRIEUX,1.642164,48.943585
FEUCHEROLLES,1.972612,48.872724
FLACOURT,1.646339,48.9282139
FLEXANVILLE,1.737576,48.853663
FLINS-NEUVE-EGLISE,1.578668,48.8906149
FLINS-SUR-SEINE,1.87006,48.962687
FOLLAINVILLE-DENNEMONT,1.713804,49.021607
FONTENAY-LE-FLEURY,2.046222,48.810638
FONTENAY-MAUVOISIN,1.648875,48.965184
FONTENAY-SAINT-PERE,1.757549,49.027329
FOURQUEUX,2.064573,48.886308
FRENEUSE,1.600624,49.048021
GAILLON-SUR-MONTCIENT,1.895781,49.029753
GALLUIS,1.794628,48.796361
GAMBAIS,1.675797,48.773843
GAMBAISEUIL,1.732794,48.756855
GARANCIERES,1.756772,48.821772
GARGENVILLE,1.809326,48.991435
GAZERAN,1.77541,48.636117
GOMMECOURT,1.593841,49.075211
GOUPILLIERES,1.760814,48.87676
GOUSSONVILLE,1.764587,48.91997
GRANDCHAMP,1.621088,48.719453
GRESSEY,1.609202,48.831853
GROSROUVRE,1.760775,48.7822249
AUBERGENVILLE,1.855891,48.9591319
GUERNES,1.644093,49.016471
GUERVILLE,1.735422,48.944263
GUITRANCOURT,1.778629,49.008153
GUYANCOURT,2.075323,48.762895
HARDRICOURT,1.896887,49.0058719
ABLIS,1.834473,48.517311
AUFFARGIS,1.887343,48.700578
HARGEVILLE,1.750297,48.897002
HAUTEVILLE,1.625688,48.704875
HERBEVILLE,1.887103,48.905937
HERMERAY,1.675408,48.637529
AUFFREVILLE-BRASSEUIL,1.710307,48.954607
HOUDAN,1.601126,48.789808
HOUILLES,2.18888,48.926916
ISSOU,1.79347,48.989101
JAMBVILLE,1.851334,49.047832
JEUFOSSE,1.546488,49.035124
JOUARS-PONTCHARTRAIN,1.902951,48.801322
JOUY-EN-JOSAS,2.169007,48.764545
JOUY-MAUVOISIN,1.648869,48.974854
JUMEAUVILLE,1.786977,48.91117
JUZIERS,1.845523,48.993291
LAINVILLE-EN-VEXIN,1.816187,49.05962
AULNAY-SUR-MAULDRE,1.84002,48.929369
LEVIS-SAINT-NOM,1.9494,48.7222
LIMAY,1.735384,48.992181
LIMETZ-VILLEZ,1.545572,49.061039
AUTEUIL,1.817169,48.841446
LOGES-EN-JOSAS,2.140358,48.764287
LOMMOYE,1.51816,48.998581
LONGNES,1.586142,48.921101
LONGVILLIERS,1.9935607,48.5784916
LOUVECIENNES,2.112527,48.86189
MAGNANVILLE,1.68413,48.969534
MAGNY-LES-HAMEAUX,2.053208,48.741829
MAISONS-LAFFITTE,2.1423899,48.947545
AUTOUILLET,1.804952,48.845714
MANTES-LA-JOLIE,1.714958,48.989323
MANTES-LA-VILLE,1.713371,48.978154
MARCQ,1.815577,48.862279
MAREIL-LE-GUYON,1.853074,48.790519
MAREIL-MARLY,2.076817,48.882174
MAREIL-SUR-MAULDRE,1.865075,48.894471
MARLY-LE-ROI,2.097727,48.868389
MAULE,1.849405,48.909203
MAULETTE,1.6173789,48.793214
MAURECOURT,2.06347,48.996211
MAUREPAS,1.945326,48.7623589
MEDAN,1.995888,48.952913
MENERVILLE,1.603031,48.954306
